(-0.077732706828368012,-0.023940400453736851)
(-0.077719987269866481,-0.001068693810470384)
(-0.071506138969084115,0.021984152748869563)
(-0.059417361903195826,0.043069200119109197)
(-0.042443661720266201,0.060137111991780706)
(-0.022149448215907270,0.071509707416845092)
(-0.000496205692811960,0.076095078623924034)
(0.020388474936877177,0.073518362457247716)
(0.038458082638877962,0.064157181797507290)
(0.051976402822972737,0.049085451107964882)
(0.059701790281584989,0.029940169672331311)
(0.061008554207770530,0.008732685255182965)
(0.055936735425347175,-0.012370891667700366)
(0.045169967084728022,-0.031275188596923860)
(0.029948195188618295,-0.046164007359084838)
(0.011927592893669875,-0.055672277465691138)
(-0.006996026546318757,-0.059006816809758070)
(-0.024881632529577809,-0.056006681956443961)
(-0.039935841743341152,-0.047139815720877623)
(-0.050685736177657405,-0.033438670465826680)
(-0.056115616044118369,-0.016383060877113761)
(-0.055755520243672169,0.002256785261386921)
(-0.049714258125978343,0.020600588175551889)
(-0.038655218839779369,0.036843604006231739)
(-0.023718823417625750,0.049429262999926185)
(-0.006400600039498113,0.057192479566275184)
(0.011602019986689655,0.059460633731040005)
(0.028558374315969828,0.056103800594458603)
(0.042871835848226361,0.047531076897041002)
(0.053229451913460804,0.034635257426631934)
(0.058719982505888224,0.018693090774469998)
(0.058909921930624165,0.001232404116137382)
(0.053871548247328940,-0.016119841338144914)
(0.044161922899371514,-0.031793239098681626)
(0.030756554985338358,-0.044418344901595672)
(0.014945679770698385,-0.052946533622476893)
(-0.001795612858428736,-0.056735001419723201)
(-0.017950105617206467,-0.055590428636768781)
(-0.032100054558301110,-0.049769073694424071)
(-0.043054366333270436,-0.039935319060627389)
(-0.049949981464297084,-0.027084523968804158)
(-0.052319015800804426,-0.012439106212764083)
(-0.050116802766455339,0.002671176297580360)
(-0.043709861669405450,0.016932883348312916)
(-0.033826608505753780,0.029164914352027581)
(-0.021476970692496718,0.038416682682693076)
(-0.007849672872187000,0.044040475527603165)
(0.005802379744428755,0.045732888721189052)
(0.018277587252347630,0.043543382249263962)
(0.028531423643541082,0.037851138099750881)
(0.035763303773538688,0.029314221413624154)
(0.039477539924238705,0.018797303192990809)
(0.039514084516687017,0.007285724644586491)
(0.036047712070176222,-0.004205620275164471)
(0.029557216043942285,-0.014720239960543974)
(0.020768819883780473,-0.023437378601390436)
(0.010580105192029976,-0.029732763317880752)
(-0.000027816628107306,-0.033218715392114864)
(-0.010081507948614907,-0.033761697971540286)
(-0.018701529313663191,-0.031477487031194351)
(-0.025176481442998444,-0.026706065102929083)
(-0.029018818715994755,-0.019969891829873437)
(-0.029998386751501412,-0.011920294843612140)
(-0.028151784850918616,-0.003277297059459968)
(-0.079151680447207051,-0.021843521076188116)
(-0.077392167927361907,0.000963900654768632)
(-0.069680462714919469,0.023248043172722659)
(-0.056594394738926232,0.043084278224888681)
(-0.039250280905606193,0.058702861390807659)
(-0.019215626425826155,0.068701062595636214)
(0.001645174181269490,0.072212861657117877)
(0.021367679682522858,0.069012599416537840)
(0.038098120917252218,0.059541251251933339)
(0.050290157359423368,0.044855704864185490)
(0.056864334344028100,0.026511054847426201)
(0.057313591084151606,0.006392758914280174)
(0.051745742106635968,-0.013480574859549042)
(0.040861328432276522,-0.031161730981931257)
(0.025871943568718338,-0.044965692219577261)
(0.008369667031493035,-0.053628402438982911)
(-0.009837664492062862,-0.056419299271887775)
(-0.026908096000187839,-0.053198486347906734)
(-0.041145973071937667,-0.044414989903379561)
(-0.051163770001369388,-0.031048197525601832)
(-0.056010249633649228,-0.014499851881195357)
(-0.055253489365760050,0.003551575693679981)
(-0.049011906603198208,0.021319069852828453)
(-0.037931570570518006,0.037081021075461559)
(-0.023113300238562558,0.049344070961973005)
(-0.005997812442146510,0.056979543532633528)
(0.011778963343289296,0.059321163942095544)
(0.028545712792521279,0.056215892796454073)
(0.042754948502165560,0.048024502942650836)
(0.053126353467053744,0.035573494589312998)
(0.058760988091302223,0.020064581312080339)
(0.059216309990188752,0.002951834365384618)
(0.054536045569818350,-0.014200705461057856)
(0.045233479447852817,-0.029866771480635591)
(0.032231231338080028,-0.042696854434876343)
(0.016764631235057639,-0.051635728438451663)
(0.000259008670581305,-0.056008396635262747)
(-0.015806694741779745,-0.055567757644283892)
(-0.030036752744130982,-0.050501194811448581)
(-0.041243148284491452,-0.041397268577029966)
(-0.048546613315795420,-0.029177362351860477)
(-0.051445727066324831,-0.015000159542120126)
(-0.049848904569084723,-0.000148959779182708)
(-0.044067768044615895,0.014087077330443495)
(-0.034774035753917520,0.026526686208576667)
(-0.022925345353759723,0.036195216114917966)
(-0.009668061595106962,0.042400203446822479)
(0.003773113021094628,0.044778235832133584)
(0.016208123940199250,0.043310465566931369)
(0.026586774850697870,0.038307113845772088)
(0.034086959858286123,0.030364075712866583)
(0.038178669665246225,0.020297045898945241)
(0.038659045992573179,0.009060254765844393)
(0.035656588910401847,-0.002342178240535374)
(0.029605487413411090,-0.012944130197194700)
(0.021193683206313069,-0.021897057774115092)
(0.011290464958622629,-0.028534966108314248)
(0.000860952448103633,-0.032420150317283535)
(-0.009124339870541955,-0.033367073519072671)
(-0.017776607697346566,-0.031443800986015805)
(-0.024364948006285560,-0.026952354805264377)
(-0.028375359584281522,-0.020391024574174934)
(-0.029548068861170961,-0.012402944653862994)
(-0.027890795399680892,-0.003716052460029575)
(-0.079434881158698276,-0.019106779831035644)
(-0.076056640435594070,0.003447695885669805)
(-0.066963261006856040,0.024890596739135785)
(-0.052936846321172654,0.043471824641025669)
(-0.035206979435296062,0.057645778145337917)
(-0.015358691019252552,0.066239620416420383)
(0.004809798960358072,0.068586244515424749)
(0.023461203740902350,0.064602925359932617)
(0.038902687518740514,0.054805602525601710)
(0.049756071543237065,0.040257980489930414)
(0.055094928096403636,0.022462811560645609)
(0.054533831822208070,0.003209013930066819)
(0.048261274577876559,-0.015607694894250072)
(0.037014283265898361,-0.032171229672012566)
(0.021998922053085970,-0.044919576849469962)
(0.004766104423280245,-0.052690340921264088)
(-0.012943864695252959,-0.054824074685805482)
(-0.029372074325238806,-0.051216659717877908)
(-0.042910239914534236,-0.042317167177812059)
(-0.052252151444084918,-0.029072912292256513)
(-0.056513232582523762,-0.012828362789576241)
(-0.055307488023706747,0.004811255936462819)
(-0.048775423727894229,0.022137762672600245)
(-0.037561344721515469,0.037503672038070521)
(-0.022743304490599348,0.049476002183382412)
(-0.005723431382174301,0.056965915328704229)
